Starting month,Cultivation Time,Min-Temp ,Max-Temp ,Rainfall Requirement,Humidity  ,Crops,Irrigation,dis,Soil,area ,production
6,3,24,28,956,69,Rice,0,Salem,1,1254,2000
6,3,25,26,1200,85,Rice,0,Salem,1,2,1
6,3,26,31,1540,82,Rice,0,Salem,3,102,321
6,3,24,26,1345,79,Rice,0,Salem,3,176,641
6,3,23,27,1111,67,Rice,0,Salem,3,720,165
6,3,19,27,965,89,Rice,0,Salem,1,18168,65100000
6,3,20,29,899,79,Rice,0,Salem,1,36,100
6,3,22,37,946,69,Rice,0,Salem,1,1,2
6,3,24,28,1005,85,Rice,0,Salem,3,5,15
6,3,23,32,1124,81,Rice,0,Salem,3,40,169
6,3,21,31,1216,76,Rice,0,Salem,3,1254,2061
6,3,24,28,1345,89,Rice,0,Salem,1,2,1
6,3,25,29,1150,84,Rice,0,Salem,1,83,300
6,3,26,29,1452,76,Rice,0,Salem,3,719,192
6,3,24,31,1564,84,Rice,0,Salem,3,18190,64430000
6,3,23,32,957,85,Rice,0,Salem,3,46,100
6,3,19,27,913,76,Rice,0,Salem,1,1,1
6,3,20,28,1045,64,Rice,0,Salem,1,11,33
6,3,22,28,1354,91,Rice,0,Salem,1,189.2,510.84
6,3,24,31,1548,90,Rice,0,Salem,3,1258,2083
6,3,23,30,1124,85,Rice,0,Salem,3,213,1278
6,3,21,31,1345,84,Rice,0,Salem,3,63,13.5
6,3,24,28,1048,85,Rice,0,Salem,1,719,208
6,3,23,32,1345,81,Rice,0,Salem,1,18240,67490000
6,3,21,31,1114,76,Rice,0,Salem,3,413,28.8
6,3,24,28,989,89,Rice,0,Salem,3,47.3,133
6,3,25,29,1678,84,Rice,0,Salem,3,5,40
6,3,26,29,1345,76,Rice,0,Salem,1,52,90.17
6,3,24,31,1248,84,Rice,0,Salem,1,1261,1525
6,3,23,32,1154,85,Rice,0,Salem,1,266,1763
6,3,19,27,968,76,Rice,0,Salem,3,75.5,15.86
6,3,20,28,1345,64,Rice,0,Salem,3,717,208.5
6,3,22,28,1000,91,Rice,0,Salem,3,18284.74,68580000
6,3,24,31,1467,90,Rice,0,Salem,1,60,102
6,3,23,30,1258,85,Rice,0,Salem,1,102,326.4
6,3,21,31,1345,84,Rice,0,Salem,3,4.2,0.3
6,3,24,28,956,69,Rice,1,Salem,3,52.94,72.57
6,3,25,26,1200,85,Rice,1,Salem,3,1264.7,805.85
6,3,26,31,1540,82,Rice,1,Salem,1,66.42,404.12
6,3,24,26,1345,79,Rice,1,Salem,1,85,15.86
6,3,23,27,1111,67,Rice,1,Salem,1,683.5,197.9
6,3,19,27,965,89,Rice,1,Salem,3,18394.7,52380000
6,3,20,29,899,79,Rice,1,Salem,3,60,145.2
6,3,22,37,946,69,Rice,1,Salem,3,118,366
6,3,24,28,1005,85,Rice,1,Salem,1,1,0.11
6,3,23,32,1124,81,Rice,1,Salem,1,2.09,12.06
6,3,21,31,1216,76,Rice,1,Salem,3,795.67,0
6,3,24,28,1345,89,Rice,1,Salem,3,22,582
6,3,25,29,1150,84,Rice,1,Salem,3,41,0.1
6,3,26,29,1452,76,Rice,1,Salem,1,450,55.8
6,3,24,31,1564,84,Rice,1,Salem,1,13876.57,52030000
6,3,23,32,957,85,Rice,1,Salem,1,17,0
6,3,19,27,913,76,Rice,1,Salem,3,10,70
6,3,20,28,1045,64,Rice,1,Salem,3,896,477.6
6,3,22,28,1354,91,Rice,1,Salem,3,198,976
6,3,24,31,1548,90,Rice,1,Salem,1,22.16,0.68
6,3,23,30,1124,85,Rice,1,Salem,1,450,85.13
6,3,21,31,1345,84,Rice,1,Salem,3,14358,59370000
6,3,24,28,1048,85,Rice,1,Salem,3,3,9
6,3,23,32,1345,81,Rice,1,Salem,3,6,21
6,3,21,31,1114,76,Rice,1,Salem,1,0.2,0.5
6,3,24,28,989,89,Rice,1,Salem,1,18,86
6,3,25,29,1678,84,Rice,1,Salem,1,52.03,450
6,3,26,29,1345,76,Rice,1,Salem,3,2.5,1.03
6,3,24,31,1248,84,Rice,1,Salem,3,3.5,10
6,3,23,32,1154,85,Rice,1,Salem,3,13.4,41.75
6,3,19,27,968,76,Rice,1,Salem,1,944,1610
6,3,20,28,1345,64,Rice,1,Salem,1,23,8.5
6,3,22,28,1000,91,Rice,1,Salem,3,1000.5,260.5
6,3,24,31,1467,90,Rice,1,Salem,3,12,25
6,3,23,30,1258,85,Rice,1,Salem,3,7,9.64
6,3,21,31,1345,84,Rice,1,Salem,1,3.84,18.22
6,18,24,28,460,72,Sugarcane,0,Salem,1,1.5,1.1
6,18,23,29,578,64,Sugarcane,0,Salem,2,22,208
6,18,21,30,358,53,Sugarcane,0,Salem,3,2,0.5
6,18,22,31,795,84,Sugarcane,0,Salem,1,1.5,1.16
6,18,24,34,346,72,Sugarcane,0,Salem,2,593,3425
6,18,25,32,468,46,Sugarcane,0,Salem,3,14560,71300000
6,18,24,31,449,74,Sugarcane,0,Salem,1,69,575
6,18,24,29,567,68,Sugarcane,0,Salem,2,3100,5200
6,18,23,28,845,52,Sugarcane,0,Salem,3,668,448
6,18,22,34,345,74,Sugarcane,0,Salem,1,10779,31863
6,18,21,31,265,84,Sugarcane,0,Salem,2,1531,12073
6,18,24,30,845,67,Sugarcane,0,Salem,3,80,54
6,18,25,31,457,80,Sugarcane,0,Salem,1,6992,23900000
6,18,23,30,865,71,Sugarcane,0,Salem,2,352,1120
6,18,22,39,578,68,Sugarcane,0,Salem,3,133,55
6,18,23,30,356,46,Sugarcane,0,Salem,1,141,3736
6,18,21,34,687,75,Sugarcane,0,Salem,2,78,843
6,18,23,35,753,85,Sugarcane,0,Salem,3,160,2108
6,18,24,32,234,68,Sugarcane,0,Salem,1,3100,5239
6,18,25,33,425,74,Sugarcane,0,Salem,2,418,199
6,18,23,31,289,72,Sugarcane,0,Salem,3,9718,27033
6,18,22,29,754,59,Sugarcane,0,Salem,1,81,33
6,18,24,30,689,64,Sugarcane,0,Salem,2,7015,25250000
6,18,21,34,479,81,Sugarcane,0,Salem,3,344,1124
6,18,22,34,348,74,Sugarcane,0,Salem,1,81,2379
6,18,23,31,467,64,Sugarcane,0,Salem,2,100,5
6,18,24,29,845,59,Sugarcane,0,Salem,3,6854.3,18995.62
6,18,24,28,523,75,Sugarcane,0,Salem,1,1160,3011.7
6,18,24,30,685,60,Sugarcane,0,Salem,2,957.57,8582
6,18,23,29,348,51,Sugarcane,0,Salem,3,175,191.14
6,18,25,34,567,49,Sugarcane,0,Salem,1,40.5,44
6,18,21,32,846,40,Sugarcane,0,Salem,2,3575,15400000
6,18,23,31,234,39,Sugarcane,0,Salem,3,235.72,824.3
6,18,24,29,546,72,Sugarcane,0,Salem,1,98.66,929
6,18,22,28,876,80,Sugarcane,0,Salem,2,35.62,21.4
6,18,25,30,356,59,Sugarcane,0,Salem,3,71.3,1500
6,18,25,29,467,87,Sugarcane,0,Salem,1,30,240
6,18,24,30,598,64,Sugarcane,0,Salem,2,255,1420
6,18,24,31,498,48,Sugarcane,0,Salem,3,68,408
6,18,23,34,675,71,Sugarcane,0,Salem,1,6791,20118
6,18,24,28,460,72,Sugarcane,1,Salem,2,73.33,889.2
6,18,23,29,578,64,Sugarcane,1,Salem,3,1296,2290
6,18,21,30,358,53,Sugarcane,1,Salem,1,294.5,90.8
6,18,22,31,795,84,Sugarcane,1,Salem,2,168,13.5
6,18,24,34,346,72,Sugarcane,1,Salem,3,84.5,39
6,18,25,32,468,46,Sugarcane,1,Salem,1,254,402
6,18,24,31,449,74,Sugarcane,1,Salem,2,110,1011.84
6,18,24,29,567,68,Sugarcane,1,Salem,3,4.75,6.8
6,18,23,28,845,52,Sugarcane,1,Salem,1,86.7,96.4
6,18,22,34,345,74,Sugarcane,1,Salem,2,1168.6,556.55
6,18,21,31,265,84,Sugarcane,1,Salem,3,2.9,1.9
6,18,24,30,845,67,Sugarcane,1,Salem,1,109,480
6,18,25,31,457,80,Sugarcane,1,Salem,2,68,376.5
6,18,23,30,865,71,Sugarcane,1,Salem,3,1059.5,458.79
6,18,22,39,578,68,Sugarcane,1,Salem,1,657,7968
6,18,23,30,356,46,Sugarcane,1,Salem,2,3668,12700000
6,18,21,34,687,75,Sugarcane,1,Salem,3,186.5,1355
6,18,23,35,753,85,Sugarcane,1,Salem,1,10695.8,31600.82
6,18,24,32,234,68,Sugarcane,1,Salem,2,3105,5267
6,18,25,33,425,74,Sugarcane,1,Salem,3,1524,10882
6,18,23,31,289,72,Sugarcane,1,Salem,1,487,102.5
6,18,22,29,754,59,Sugarcane,1,Salem,2,81,24
6,18,24,30,689,64,Sugarcane,1,Salem,3,7060,26830000
6,18,21,34,479,81,Sugarcane,1,Salem,1,239,20.9
6,18,22,34,348,74,Sugarcane,1,Salem,2,352,1145
6,18,23,31,467,64,Sugarcane,1,Salem,3,85.1,40.31
6,18,24,29,845,59,Sugarcane,1,Salem,1,455,13760
6,18,24,28,523,75,Sugarcane,1,Salem,2,10509.37,30760.7
6,18,24,30,685,60,Sugarcane,1,Salem,3,3118,5182
6,18,23,29,348,51,Sugarcane,1,Salem,1,1530,11558
6,18,25,34,567,49,Sugarcane,1,Salem,2,497,104.37
6,18,21,32,846,40,Sugarcane,1,Salem,3,116.5,26.14
6,18,23,31,234,39,Sugarcane,1,Salem,1,7110,26660000
6,18,24,29,546,72,Sugarcane,1,Salem,2,340,578
6,18,22,28,876,80,Sugarcane,1,Salem,3,406,1299.2
6,18,25,30,356,59,Sugarcane,1,Salem,1,82.09,35.51
6,18,25,29,467,87,Sugarcane,1,Salem,2,268,2879.52
6,18,24,30,598,64,Sugarcane,1,Salem,3,10681.98,29119.66
6,18,24,31,498,48,Sugarcane,1,Salem,1,3160.67,3975.2
6,18,23,34,675,71,Sugarcane,1,Salem,2,1912.1,17374.4
6,4,24,28,1018,82,Ragi,0,Salem,3,570,104.36
6,4,23,32,950,79,Ragi,0,Salem,3,116.5,25.1
6,4,25,29,1154,78,Ragi,0,Salem,3,7156.7,34750000
6,4,26,33,1256,85,Ragi,0,Salem,3,340,822.8
6,4,23,28,1345,88,Ragi,0,Salem,3,410,1462
6,4,25,31,985,79,Ragi,0,Salem,3,89.3,46.5
6,4,22,28,845,82,Ragi,0,Salem,3,145.26,1560
6,4,25,34,1000,86,Ragi,0,Salem,3,8683.38,25870.98
6,4,25,30,856,85,Ragi,0,Salem,3,3250.78,3058.46
6,4,24,28,1145,82,Ragi,0,Salem,3,1656.8,10251.13
6,4,24,28,1020,82,Ragi,0,Salem,3,656.45,35.95
6,4,23,32,865,79,Ragi,0,Salem,3,118.5,30.22
6,4,25,29,789,78,Ragi,0,Salem,3,7050.45,26430000
6,4,26,33,945,85,Ragi,0,Salem,3,370.7,877.6
6,4,23,28,1245,88,Ragi,0,Salem,3,200,1800
6,4,25,31,1124,79,Ragi,0,Salem,3,53.55,34.2
6,4,22,28,1354,82,Ragi,0,Salem,3,128.02,2448.2
6,4,25,34,945,86,Ragi,0,Salem,3,131.9,700.35
6,4,25,30,1344,85,Ragi,0,Salem,3,254.5,1480
6,4,24,28,1054,82,Ragi,0,Salem,3,81.7,572
6,4,24,28,948,82,Ragi,0,Salem,3,921.87,2539.64
6,4,23,32,1320,79,Ragi,0,Salem,3,2000,2350
6,4,25,29,1124,78,Ragi,0,Salem,3,483,4150
6,4,26,33,956,85,Ragi,0,Salem,3,413.1,20.18
6,4,23,28,847,88,Ragi,0,Salem,3,79.5,26
6,4,25,31,1023,79,Ragi,0,Salem,3,3483.09,14190000
6,4,22,28,1124,82,Ragi,0,Salem,3,124.6,34.7
6,4,25,34,1345,86,Ragi,0,Salem,3,100.9,900
6,4,25,30,865,85,Ragi,0,Salem,3,24,14.98
6,4,24,28,1018,82,Ragi,0,Salem,3,53.5,999.5
6,4,24,28,1134,82,Ragi,0,Salem,3,30.4,220
6,4,23,32,1345,79,Ragi,0,Salem,3,40,160
6,4,25,29,846,78,Ragi,0,Salem,3,10,60
6,4,26,33,756,85,Ragi,0,Salem,3,1595.5,3788
6,4,23,28,948,88,Ragi,0,Salem,3,67.5,402
6,4,25,31,1018,79,Ragi,0,Salem,3,1912,1900
6,4,22,28,1015,82,Ragi,0,Salem,3,20.5,13.2
6,4,25,34,998,86,Ragi,0,Salem,3,409,98
6,4,25,30,1345,85,Ragi,0,Salem,3,15,10.5
6,4,24,28,1168,82,Ragi,0,Salem,3,128,148
6,4,24,28,1018,82,Ragi,1,Salem,3,94,828.52
6,4,23,32,950,79,Ragi,1,Salem,3,15.5,7.6
6,4,25,29,1154,78,Ragi,1,Salem,3,73,253
6,4,26,33,1256,85,Ragi,1,Salem,3,29.9,17.85
6,4,23,28,1345,88,Ragi,1,Salem,3,1,0.5
6,4,25,31,985,79,Ragi,1,Salem,3,32,235
6,4,22,28,845,82,Ragi,1,Salem,3,10,105
6,4,25,34,1000,86,Ragi,1,Salem,3,34,15.05
6,4,25,30,856,85,Ragi,1,Salem,3,360,5517
6,4,24,28,1145,82,Ragi,1,Salem,3,3540,11000000
6,4,24,28,1020,82,Ragi,1,Salem,3,22.5,220
6,4,23,32,865,79,Ragi,1,Salem,3,21400,2600
6,4,25,29,789,78,Ragi,1,Salem,3,1400,500
6,4,26,33,945,85,Ragi,1,Salem,3,1000,100
6,4,23,28,1245,88,Ragi,1,Salem,3,7300,9400
6,4,25,31,1124,79,Ragi,1,Salem,3,3700,7100
6,4,22,28,1354,82,Ragi,1,Salem,3,650800,228400
6,4,25,34,945,86,Ragi,1,Salem,3,3300,1000
6,4,25,30,1344,85,Ragi,1,Salem,3,10100,10200
6,4,24,28,1054,82,Ragi,1,Salem,3,2200,700
6,4,24,28,948,82,Ragi,1,Salem,3,2800,4900
6,4,23,32,1320,79,Ragi,1,Salem,3,1300,500
6,4,25,29,1124,78,Ragi,1,Salem,3,800,100
6,4,26,33,956,85,Ragi,1,Salem,3,6700,11800
6,4,23,28,847,88,Ragi,1,Salem,3,35600,75400
6,4,25,31,1023,79,Ragi,1,Salem,3,700,72900
6,4,22,28,1124,82,Ragi,1,Salem,3,35900,11100
6,4,25,34,1345,86,Ragi,1,Salem,3,200,200
6,4,25,30,865,85,Ragi,1,Salem,3,100,100
6,4,24,28,1018,82,Ragi,1,Salem,3,28000,14800
6,4,24,28,1134,82,Ragi,1,Salem,3,20200,21700
6,4,23,32,1345,79,Ragi,1,Salem,3,600,200
6,4,25,29,846,78,Ragi,1,Salem,3,18800,9400
6,4,26,33,756,85,Ragi,1,Salem,3,100,100
6,4,23,28,948,88,Ragi,1,Salem,3,600,2400
6,4,25,31,1018,79,Ragi,1,Salem,3,600,1000
6,4,22,28,1015,82,Ragi,1,Salem,3,18000,37300
6,4,25,34,998,86,Ragi,1,Salem,3,30100,11100
6,4,25,30,1345,85,Ragi,1,Salem,3,300,200
6,4,24,28,1168,82,Ragi,1,Salem,3,27400,9100
5,9,24,31,52,32,Cotton,1,Theni,2,2600,1900
5,9,20,30,67,62,Cotton,1,Theni,3,3200,1000
5,9,23,30,75,43,Cotton,1,Theni,2,14000,12900
5,9,25,29,98,56,Cotton,1,Theni,3,4000,10000
5,9,20,32,46,34,Cotton,1,Theni,2,755200,867800
5,9,22,30,32,27,Cotton,1,Theni,3,2300,900
5,9,21,30,40,39,Cotton,1,Theni,2,3700,5800
5,9,24,31,50,32,Cotton,1,Theni,3,4600,3400
5,9,20,30,61,32,Cotton,1,Theni,2,3300,6700
5,9,21,30,71,43,Cotton,1,Theni,3,2100,1300
5,9,24,29,81,56,Cotton,1,Theni,2,2000,300
5,9,20,33,31,34,Cotton,1,Theni,3,7000,14900
5,9,22,30,41,47,Cotton,1,Theni,2,38300,96800
5,9,21,30,39,39,Cotton,1,Theni,3,21300,12200
5,9,24,31,45,32,Cotton,1,Theni,2,200,200
5,9,20,30,115,62,Cotton,1,Theni,3,26200,25900
5,9,23,30,98,43,Cotton,1,Theni,2,25900,35800
5,9,25,29,67,56,Cotton,1,Theni,3,700,500
5,9,20,32,84,34,Cotton,1,Theni,2,14800,22100
5,9,22,30,169,27,Cotton,1,Theni,3,300,1600
5,9,21,30,67,39,Cotton,1,Theni,2,700,1200
5,9,24,31,101,32,Cotton,1,Theni,3,26600,63900
5,9,20,30,46,32,Cotton,1,Theni,2,13500,3300
5,9,21,30,51,43,Cotton,1,Theni,3,400,200
5,9,24,29,67,56,Cotton,1,Theni,2,700,65900
5,9,20,33,84,34,Cotton,1,Theni,3,100,100
5,9,22,30,32,47,Cotton,1,Theni,2,1635,889
5,9,21,30,35,39,Cotton,1,Theni,3,1880,355
5,9,24,31,47,32,Cotton,1,Theni,2,9453,10510
5,9,20,30,52,62,Cotton,1,Theni,3,694865,249457
5,9,23,30,78,43,Cotton,1,Theni,2,1762,495
5,9,25,29,34,56,Cotton,1,Theni,3,11131,14582
5,9,20,32,104,34,Cotton,1,Theni,2,3358,9540
5,9,22,30,57,27,Cotton,1,Theni,3,23117,3861
5,9,21,30,68,39,Cotton,1,Theni,2,1546,1098
5,9,24,31,38,32,Cotton,1,Theni,3,6215,11467
5,9,20,30,34,32,Cotton,1,Theni,2,37991,105082
5,9,21,30,48,43,Cotton,1,Theni,3,8,2
5,9,24,29,65,56,Cotton,1,Theni,2,4,2
5,9,20,33,75,34,Cotton,1,Theni,3,99,54
5,9,22,30,84,47,Cotton,1,Theni,2,26835,9365
5,9,21,30,91,39,Cotton,1,Theni,3,21785,25358
5,9,24,31,54,32,Cotton,1,Theni,2,1071,327
5,9,20,30,41,62,Cotton,1,Theni,3,21487,30576
5,9,23,30,38,43,Cotton,1,Theni,2,12,1
5,9,25,29,52,56,Cotton,1,Theni,3,455,2203
5,9,20,32,110,34,Cotton,1,Theni,2,98,10
5,9,22,30,164,27,Cotton,1,Theni,3,1,1
5,9,21,30,53,39,Cotton,1,Theni,2,734,1180
5,9,24,31,94,32,Cotton,1,Theni,3,20258,45669
5,9,20,30,76,32,Cotton,1,Theni,2,881,145
5,9,21,30,35,43,Cotton,1,Theni,3,10,2
5,9,24,29,49,56,Cotton,1,Theni,2,439,294
5,9,20,33,68,34,Cotton,1,Theni,3,5199,5759
5,9,22,30,154,47,Cotton,1,Theni,2,1770,32364
5,9,21,30,198,39,Cotton,1,Theni,2,884,83126
6,5,25,32,85,60,Jowar,1,Theni,1,30693,7888
6,5,26,33,67,54,Jowar,1,Theni,2,2477,1449
6,5,24,31,140,46,Jowar,1,Theni,3,9315,2831
6,5,23,30,84,37,Jowar,1,Theni,1,12025,16128
6,5,21,32,65,74,Jowar,1,Theni,2,3755,10146
6,5,18,34,71,85,Jowar,1,Theni,3,21,14
6,5,19,35,59,76,Jowar,1,Theni,1,791559,884963
6,5,20,32,105,52,Jowar,1,Theni,2,601,215
6,5,24,33,94,48,Jowar,1,Theni,3,5071,14351
6,5,25,31,64,66,Jowar,1,Theni,1,1626,1143
6,5,26,34,37,76,Jowar,1,Theni,2,3475,9049
6,5,21,35,111,34,Jowar,1,Theni,3,1744,774
6,5,23,35,46,42,Jowar,1,Theni,1,1103,15470
6,5,22,34,78,55,Jowar,1,Theni,2,3167,559
6,5,25,33,59,67,Jowar,1,Theni,3,1292,214
6,5,26,36,100,75,Jowar,1,Theni,1,6613,16923
